©Çª«¦WºÙ	µ¥¯Å 	¥Í©R­È	°òÂ¦¸gÅç	±¼¸¨ª««~
Ghost Stump (µoªÞ¤ì§¯)	19	330	33	Brown Able Skirt (½Å®È¦æ¥Ö¸È)
Ghost Stump (µoªÞ¤ì§¯)	19	330	33	Orange High Boots (¶À®È¦æ¾c)
Ghost Stump (µoªÞ¤ì§¯)	19	330	33	Blue Enamel Boots (ÂÅº£¥Ö¾c)
Ghost Stump (µoªÞ¤ì§¯)	19	330	33	Dark Savata (¶Â©R¤¤¤â®M)
Ghost Stump (µoªÞ¤ì§¯)	19	330	33	Green Lagger Halfglove (ºñ¦â¥Ö¤â®M)
Ghost Stump (µoªÞ¤ì§¯)	19	330	33	Iron Axe (ÅK»s©òÀY)
Ghost Stump (µoªÞ¤ì§¯)	19	330	33	Chopping Axe (¼A®ã©ò)
Ghost Stump (µoªÞ¤ì§¯)	19	330	33	Red Potion (¬õ¦âÃÄ¤ô)
Ghost Stump (µoªÞ¤ì§¯)	19	330	33	Blue Potion (ÂÅ¦âÃÄ¤ô)
Ghost Stump (µoªÞ¤ì§¯)	19	330	33	Scroll for Overall Armor for DEX 60% (®MªA±Ó±¶¨÷¶b60%)
Ghost Stump (µoªÞ¤ì§¯)	19	330	33	Scroll for Overall Armor for Defense 60% (¥þ¨­ñZ¥Ò¨¾¿m¤O 60% ±²¶b)
Ghost Stump (µoªÞ¤ì§¯)	19	330	33	Scroll for Shoes for Mobility 60% (¾c¤l²¾°Ê³t«× 60% ±²¶b)
Ghost Stump (µoªÞ¤ì§¯)	19	330	33	Scroll for Gloves for Accuracy 60% (¤â®M©R¤¤²v 60% ±²¶b)
Ghost Stump (µoªÞ¤ì§¯)	19	330	33	Scroll for Shield for Defense 60% (¬ÞµP¨¾¿m¤O 60% ±²¶b)
Ghost Stump (µoªÞ¤ì§¯)	19	330	33	Scroll for Two-Handed Sword for ATT 10% (Âù¤â¼C§ðÀ»¤O 10% ±²¶b)
Ghost Stump (µoªÞ¤ì§¯)	19	330	33	Scroll for Knuckler for ATT 10% («üªê§ðÀ»¤O 10% ±²¶b)
Ghost Stump (µoªÞ¤ì§¯)	19	330	33	Seedling (­]¤ì)
Ghost Stump (µoªÞ¤ì§¯)	19	330	33	Bronze Ore («C»É¥ÀÄq)
Ghost Stump (µoªÞ¤ì§¯)	19	330	33	Silver Ore (»Èªº¥ÀÄq)
Ghost Stump (µoªÞ¤ì§¯)	19	330	33	Diamond Ore (Æp¥Û¥ÀÄq)
Ghost Stump (µoªÞ¤ì§¯)	19	330	33	Dry Branch (°®¬\ªº¾ðªK)
Blue Mushroom (ÂÅÛ£Û£)	20	350	32	Red Loosecap (¬õ¦â¦Û¥Ñ´U)
Blue Mushroom (ÂÅÛ£Û£)	20	350	32	Green Burgler (ºñ¨¾­·´U)
Blue Mushroom (ÂÅÛ£Û£)	20	350	32	Brown Lagger Cap (¦Ç¦âµÜ§J´U)
Blue Mushroom (ÂÅÛ£Û£)	20	350	32	Brown Double Marine (½Å¦â¤ô¤âÀY¤y)
Blue Mushroom (ÂÅÛ£Û£)	20	350	32	Brown Pitz Bandana (½Å¦â¥Ö¯÷ÀY¤y)
Blue Mushroom (ÂÅÛ£Û£)	20	350	32	Blue Sergeant (ÂÅ­x©xñZ¥Ò)
Blue Mushroom (ÂÅÛ£Û£)	20	350	32	Red Shivermail (¬õµw¥Ö¸Ë)
Blue Mushroom (ÂÅÛ£Û£)	20	350	32	Steel Fitted Mail (¿ûÅKñZ¥Ò)
Blue Mushroom (ÂÅÛ£Û£)	20	350	32	Steel Sergeant Kilt (¿ûÅK­x©x¸È)
Blue Mushroom (ÂÅÛ£Û£)	20	350	32	Red Shivermail Skirt (¬õµw¥Ö¸È)
Blue Mushroom (ÂÅÛ£Û£)	20	350	32	Mithril War Boots (¾YÄq¾Ô°«¾c)
Blue Mushroom (ÂÅÛ£Û£)	20	350	32	Purple Jewelry Boots (µµÄ_¥Û¾c)
Blue Mushroom (ÂÅÛ£Û£)	20	350	32	Halfmoon Zamadar (¥b¤ë¤b)
Blue Mushroom (ÂÅÛ£Û£)	20	350	32	Field Dagger (¾Ô°«µu¤M)
Blue Mushroom (ÂÅÛ£Û£)	20	350	32	Wizard Staff (ªk®vªø§ú)
Blue Mushroom (ÂÅÛ£Û£)	20	350	32	Iron Axe (ÅK»s©òÀY)
Blue Mushroom (ÂÅÛ£Û£)	20	350	32	Chopping Axe (¼A®ã©ò)
Blue Mushroom (ÂÅÛ£Û£)	20	350	32	Fork on a Stick (¤eºj)
Blue Mushroom (ÂÅÛ£Û£)	20	350	32	Mithril Pole Arm (¾YÄq´u)
Blue Mushroom (ÂÅÛ£Û£)	20	350	32	Orange Potion (¾ï¦âÃÄ¤ô)
Blue Mushroom (ÂÅÛ£Û£)	20	350	32	White Potion (¥Õ¦âÃÄ¤ô)
Blue Mushroom (ÂÅÛ£Û£)	20	350	32	Blue Potion (ÂÅ¦âÃÄ¤ô)
Blue Mushroom (ÂÅÛ£Û£)	20	350	32	Magic Potion (Å]¤OÃÄ¤ô)
Blue Mushroom (ÂÅÛ£Û£)	20	350	32	Scroll for Bottomwear for Defense 10% (¿Ç¸È¨¾¿m¤O 10% ±²¶b)
Blue Mushroom (ÂÅÛ£Û£)	20	350	32	Scroll for Two-Handed Sword for ATT 10% (Âù¤â¼C§ðÀ»¤O 10% ±²¶b)
Blue Mushroom (ÂÅÛ£Û£)	20	350	32	Blue Mushroom Cap (ÂÅÛ£Û£³Ê)
Blue Mushroom (ÂÅÛ£Û£)	20	350	32	Gold Ore (¶Àª÷¥ÀÄq)
Blue Mushroom (ÂÅÛ£Û£)	20	350	32	Sapphire Ore (ÂÅÄ_¥Û¥ÀÄq)
Blue Mushroom (ÂÅÛ£Û£)	20	350	32	Topaz Ore (¶À´¹¥ÀÄq)
Stirge (½¿½»)	20	300	33	Green Robin Hat (ºñ¦ÐÁl´U)
Stirge (½¿½»)	20	300	33	Steel Corporal (ÅK¯Ý¥Ò)
Stirge (½¿½»)	20	300	33	Red Pao (¬õ­ð¸Ë)
Stirge (½¿½»)	20	300	33	Pink Qi Pao (¯»¬õºX³T)
Stirge (½¿½»)	20	300	33	Brown Cotton Lagger (½Å¦â¥Ö¥~®M)
Stirge (½¿½»)	20	300	33	Beige Carribean (½Å¦â¥[°Ç¤ñ®M¸Ë)
Stirge (½¿½»)	20	300	33	Steel Corporal Pants (ÅKªO¿Ç)
Stirge (½¿½»)	20	300	33	Red Pao Bottom (¬õ­ð­m¿Ç)
Stirge (½¿½»)	20	300	33	Purple Qi Pao Skirt (µµºX³T¸È)
Stirge (½¿½»)	20	300	33	Work Gloves (¤u¦a¤â®M)
Stirge (½¿½»)	20	300	33	Ryden (¹p¹q)
Stirge (½¿½»)	20	300	33	Orange Potion (¾ï¦âÃÄ¤ô)
Stirge (½¿½»)	20	300	33	Blue Potion (ÂÅ¦âÃÄ¤ô)
Stirge (½¿½»)	20	300	33	Lemon (ÂfÂc)
Stirge (½¿½»)	20	300	33	Scroll for Helmet for INT 100% (ÀY²¯´¼¤O¨÷¶b100%)
Stirge (½¿½»)	20	300	33	Scroll for Shoes for Mobility 60% (¾c¤l²¾°Ê³t«× 60% ±²¶b)
Stirge (½¿½»)	20	300	33	Scroll for Cape for Defense 10% (©Ü­·¨¾¿m¤O 10% ±²¶b)
Stirge (½¿½»)	20	300	33	Dark Scroll for Cape for Defense 70% (¶Â·t©Ü­·¨¾¿m¤O 70% ±²¶b)
Stirge (½¿½»)	20	300	33	Scroll for One-Handed Axe for Accuracy 60% (³æ¤â©ò©R¤¤¨÷¶b60%)
Stirge (½¿½»)	20	300	33	Scroll for Knuckler for ATT 60% («üªê§ðÀ»¤O 60% ±²¶b)
Stirge (½¿½»)	20	300	33	Stirge Wing (½¿½»¯Í»H)
Stirge (½¿½»)	20	300	33	Stiff Feather (°íµwªº¦Ð¤ò)
Stirge (½¿½»)	20	300	33	Steel Ore (¿ûÅK¥ÀÄq)
Stirge (½¿½»)	20	300	33	Garnet Ore (¥Ûºh¥Û¥ÀÄq)
Jr. Necki («C³D)	21	285	38	Steel Sharp Helm (ÅK»s¦yÀY¨ã)
Jr. Necki («C³D)	21	285	38	Brown Lamelle (½Å¤Q¦r­x¥Ò)
Jr. Necki («C³D)	21	285	38	Purple Split (µµ¦÷ÂÅ)
Jr. Necki («C³D)	21	285	38	Blue Kendo Robe (ÂÅ¼C¹DªA)
Jr. Necki («C³D)	21	285	38	Brown Ramel Skirt (½Å¤Q¦r­x¸È)
Jr. Necki («C³D)	21	285	38	White Split Skirt (¥Õ¦÷ÂÅ¸È)
Jr. Necki («C³D)	21	285	38	Red Jack Boots (¬õ¥Ö»sªø¹u)
Jr. Necki («C³D)	21	285	38	Coconut Knife (¤ú¤M)
Jr. Necki («C³D)	21	285	38	Double Tail Knuckler (Âù´Æ«üªê)
Jr. Necki («C³D)	21	285	38	Orange Potion (¾ï¦âÃÄ¤ô)
Jr. Necki («C³D)	21	285	38	Orange (¬h¾í)
Jr. Necki («C³D)	21	285	38	Scroll for Bottomwear for Mobility 100% (¿Ç¸È²¾°Ê³t«× 100% ±²¶b)
Jr. Necki («C³D)	21	285	38	Scroll for Shoes for Mobility 100% (¾c¤l²¾°Ê³t«× 100% ±²¶b)
Jr. Necki («C³D)	21	285	38	Scroll for Shield for Defense 10% (¬ÞµP¨¾¿m¤O 10% ±²¶b)
Jr. Necki («C³D)	21	285	38	Jr. Necki Skin (³D¥Ö)
Jr. Necki («C³D)	21	285	38	Mithril Ore (¾YÄq¥Û¥ÀÄq)
Jr. Necki («C³D)	21	285	38	Topaz Ore (¶À´¹¥ÀÄq)
Horny Mushroom (¨ëÛ£Û£)	22	300	35	Iron Burgernet Helm (¿û»sÃM¤hÀY²¯)
Horny Mushroom (¨ëÛ£Û£)	22	300	35	Brown Jester (½Å¦â³N¤h´U)
Horny Mushroom (¨ëÛ£Û£)	22	300	35	Blue Pole-Feather Hat (ÂÅ¦ÐÁl¤T¨¤´U)
Horny Mushroom (¨ëÛ£Û£)	22	300	35	Blue Pilfer (ÂÅ®üµsÀY¤y)
Horny Mushroom (¨ëÛ£Û£)	22	300	35	Black Pao (¶Â­ð­m)
Horny Mushroom (¨ëÛ£Û£)	22	300	35	Green Able Armor (¥Ö»s®È¦æªA)
Horny Mushroom (¨ëÛ£Û£)	22	300	35	Red Kendo Robe (¬õ¼C¹DªA)
Horny Mushroom (¨ëÛ£Û£)	22	300	35	Brown Turk Gally (½Å¦â®üµsªA)
Horny Mushroom (¨ëÛ£Û£)	22	300	35	Blue Jean Shorts (ÂÅ¤û¥Jµu¿Ç)
Horny Mushroom (¨ëÛ£Û£)	22	300	35	Black Pao Bottom (¶Â­ð­m¿Ç)
Horny Mushroom (¨ëÛ£Û£)	22	300	35	Brown Sneak Pants (½Å±Ó±¶¤§¿Ç)
Horny Mushroom (¨ëÛ£Û£)	22	300	35	Green Able Armor Skirt (ºñ®È¦æ¥Ö¸È)
Horny Mushroom (¨ëÛ£Û£)	22	300	35	Yellow Windshoes (¶ÀÄÆ­·¾c)
Horny Mushroom (¨ëÛ£Û£)	22	300	35	Steel Fingerless Gloves (¿û»sµu¤â®M)
Horny Mushroom (¨ëÛ£Û£)	22	300	35	Steel Shield (¿û¬Þ)
Horny Mushroom (¨ëÛ£Û£)	22	300	35	Cutlus (Ås¤M)
Horny Mushroom (¨ëÛ£Û£)	22	300	35	Iron Axe (ÅK»s©òÀY)
Horny Mushroom (¨ëÛ£Û£)	22	300	35	Iron Axe (¿ûÅK©ò)
Horny Mushroom (¨ëÛ£Û£)	22	300	35	Mithril Pole Arm (¾YÄq´u)
Horny Mushroom (¨ëÛ£Û£)	22	300	35	Eagle Crow (ÆN©¸)
Horny Mushroom (¨ëÛ£Û£)	22	300	35	The Negotiator (®æÄõ¼w¤õºj)
Horny Mushroom (¨ëÛ£Û£)	22	300	35	Orange Potion (¾ï¦âÃÄ¤ô)
Horny Mushroom (¨ëÛ£Û£)	22	300	35	Blue Potion (ÂÅ¦âÃÄ¤ô)
Horny Mushroom (¨ëÛ£Û£)	22	300	35	Wizard Potion (±j®ÄÅ]¤O¤ô)
Horny Mushroom (¨ëÛ£Û£)	22	300	35	Scroll for Shoes for Mobility 100% (¾c¤l²¾°Ê³t«× 100% ±²¶b)
Horny Mushroom (¨ëÛ£Û£)	22	300	35	Scroll for One-Handed BW for Accuracy 10% (³æ¤â´Ò©R¤¤¨÷¶b10%)
Horny Mushroom (¨ëÛ£Û£)	22	300	35	Scroll for Two-Handed Sword for ATT 60% (Âù¤â¼C§ðÀ»¤O 60% ±²¶b)
Horny Mushroom (¨ëÛ£Û£)	22	300	35	Scroll for Two-Handed Axe for ATT 10% (Âù¤â©ò§ðÀ»¤O 10% ±²¶b)
Horny Mushroom (¨ëÛ£Û£)	22	300	35	Horny Mushroom Cap (¨ëÛ£Û£³Ê)
Horny Mushroom (¨ëÛ£Û£)	22	300	35	Bronze Ore («C»É¥ÀÄq)
Horny Mushroom (¨ëÛ£Û£)	22	300	35	Topaz Ore (¶À´¹¥ÀÄq)
Dark Axe Stump (¶Â©ò¤ì§¯)	22	550	38	Yellow Starry Bandana (¶À¬PÀY¤y)
Dark Axe Stump (¶Â©ò¤ì§¯)	22	550	38	Brown Double Marine (½Å¦â¤ô¤âÀY¤y)
Dark Axe Stump (¶Â©ò¤ì§¯)	22	550	38	Purple Shivermail (µµµw¥Ö¸Ë)
Dark Axe Stump (¶Â©ò¤ì§¯)	22	550	38	Brown Doroness Robe (½ÅÅ]ªÌ¤§³T)
Dark Axe Stump (¶Â©ò¤ì§¯)	22	550	38	Purple Doroness Robe (µµÅ]ªÌ¤§³T)
Dark Axe Stump (¶Â©ò¤ì§¯)	22	550	38	Green Able Armor Skirt (ºñ®È¦æ¥Ö¸È)
Dark Axe Stump (¶Â©ò¤ì§¯)	22	550	38	Purple Shivermail Skirt (µµµw¥Ö¸È)
Dark Axe Stump (¶Â©ò¤ì§¯)	22	550	38	Red Lappy Boots (¬õ°lÀ»¾c)
Dark Axe Stump (¶Â©ò¤ì§¯)	22	550	38	Black Lappy Boots (¶Â°lÀ»¾c)
Dark Axe Stump (¶Â©ò¤ì§¯)	22	550	38	Wooden Top (¤ì»sªûÁ³)
Dark Axe Stump (¶Â©ò¤ì§¯)	22	550	38	Adamantium Igor (¦¶Äq«üªê)
Dark Axe Stump (¶Â©ò¤ì§¯)	22	550	38	Mithril Guards (¾YÄq°«®±)
Dark Axe Stump (¶Â©ò¤ì§¯)	22	550	38	Silver Guardian (»È¦uÅ@®±®M)
Dark Axe Stump (¶Â©ò¤ì§¯)	22	550	38	Orange Potion (¾ï¦âÃÄ¤ô)
Dark Axe Stump (¶Â©ò¤ì§¯)	22	550	38	Blue Potion (ÂÅ¦âÃÄ¤ô)
Dark Axe Stump (¶Â©ò¤ì§¯)	22	550	38	Sap of Ancient Tree (¬\¤ì¾ð²G)
Dark Axe Stump (¶Â©ò¤ì§¯)	22	550	38	Scroll for Two-Handed Sword for Accuracy 60% (Âù¤â¼C©R¤¤¨÷¶b60%)
Dark Axe Stump (¶Â©ò¤ì§¯)	22	550	38	Scroll for Two-Handed BW for ATT 10% (Âù¤â¶w¾¹§ðÀ»¤O 10% ±²¶b)
Dark Axe Stump (¶Â©ò¤ì§¯)	22	550	38	Scroll for Two-Handed BW for Accuracy 100% (Âù¤â´Ò©R¤¤¨÷¶b100%)
Dark Axe Stump (¶Â©ò¤ì§¯)	22	550	38	Firewood (¤ì®ã)
Dark Axe Stump (¶Â©ò¤ì§¯)	22	550	38	Axe (¿ò¥¢ªº©òÀY)
Dark Axe Stump (¶Â©ò¤ì§¯)	22	550	38	The Summoning Rock (¥l³ê¥Û)
Dark Axe Stump (¶Â©ò¤ì§¯)	22	550	38	Steel Ore (¿ûÅK¥ÀÄq)
Dark Axe Stump (¶Â©ò¤ì§¯)	22	550	38	Diamond Ore (Æp¥Û¥ÀÄq)
Wooden Mask (¤ì­±©Ç¤H)	23	500	42	Mithril Viking Helm (¾YÄq®üµsÀY²¯)
Wooden Mask (¤ì­±©Ç¤H)	23	500	42	Brown Robin Hat (½Å¦ÐÁl´U)
Wooden Mask (¤ì­±©Ç¤H)	23	500	42	Green Loosecap (ºñ¦â¦Û¥Ñ´U)
Wooden Mask (¤ì­±©Ç¤H)	23	500	42	Brown Double Marine (½Å¦â¤ô¤âÀY¤y)
Wooden Mask (¤ì­±©Ç¤H)	23	500	42	Blue Split Piece (ÂÅ¦÷ÂÅ)
Wooden Mask (¤ì­±©Ç¤H)	23	500	42	Black Split Pants (¶Â¦÷ÂÅ¿Ç)
Wooden Mask (¤ì­±©Ç¤H)	23	500	42	Gold War Boots (ª÷¾Ô°«¾c)
Wooden Mask (¤ì­±©Ç¤H)	23	500	42	Black Lappy Boots (¶Â°lÀ»¾c)
Wooden Mask (¤ì­±©Ç¤H)	23	500	42	Orihalcon Missel (µµÄq¾÷¾¹¤â®M)
Wooden Mask (¤ì­±©Ç¤H)	23	500	42	Ocean Mesana (ÂÅ½åªÌ¤â®M)
Wooden Mask (¤ì­±©Ç¤H)	23	500	42	Silver Sylvia (»È¼É­·¤â®M)
Wooden Mask (¤ì­±©Ç¤H)	23	500	42	Iron Dagger (¿ûµu¤M)
Wooden Mask (¤ì­±©Ç¤H)	23	500	42	Orange Potion (¾ï¦âÃÄ¤ô)
Wooden Mask (¤ì­±©Ç¤H)	23	500	42	Blue Potion (ÂÅ¦âÃÄ¤ô)
Wooden Mask (¤ì­±©Ç¤H)	23	500	42	Wizard Potion (±j®ÄÅ]¤O¤ô)
Wooden Mask (¤ì­±©Ç¤H)	23	500	42	Scroll for Overall Armor for DEX 60% (®MªA±Ó±¶¨÷¶b60%)
Wooden Mask (¤ì­±©Ç¤H)	23	500	42	Scroll for Gloves for ATT 10% (¤â®M§ðÀ»¨÷¶b10%)
Wooden Mask (¤ì­±©Ç¤H)	23	500	42	Scroll for Shield for Defense 60% (¬ÞµP¨¾¿m¤O 60% ±²¶b)
Wooden Mask (¤ì­±©Ç¤H)	23	500	42	Scroll for Cape for INT 60% (©Ü­·´¼¤O¨÷¶b60%)
Wooden Mask (¤ì­±©Ç¤H)	23	500	42	Scroll for Spear for Accuracy 60% (ºj©R¤¤¨÷¶b60%)
Wooden Mask (¤ì­±©Ç¤H)	23	500	42	Scroll for Knuckler for Accuracy 100% («üªê©R¤¤²v 100% ±²¶b)
Wooden Mask (¤ì­±©Ç¤H)	23	500	42	Wooden Board (¤ìªO)
Wooden Mask (¤ì­±©Ç¤H)	23	500	42	Bronze Ore («C»É¥ÀÄq)
Wooden Mask (¤ì­±©Ç¤H)	23	500	42	Amethyst Ore (µµ¤ô´¹¥ÀÄq)
Wooden Mask (¤ì­±©Ç¤H)	23	500	42	AquaMarine Ore (®üÂÅ¥Û¥ÀÄq)
Zombie Mushroom (íL«ÍÛ£Û£)	24	500	42	Iron Burgernet Helm (¿û»sÃM¤hÀY²¯)
Zombie Mushroom (íL«ÍÛ£Û£)	24	500	42	Pink Jester (¯»¬õ³N¤h´U)
Zombie Mushroom (íL«ÍÛ£Û£)	24	500	42	Green Hunter (ºñÂy¤H´U)
Zombie Mushroom (íL«ÍÛ£Û£)	24	500	42	Weighted Earrings (Áè¯]¦ÕÀô)
Zombie Mushroom (íL«ÍÛ£Û£)	24	500	42	Gold Earrings (ª÷¦ÕÀô)
Zombie Mushroom (íL«ÍÛ£Û£)	24	500	42	Steel Corporal (ÅK¯Ý¥Ò)
Zombie Mushroom (íL«ÍÛ£Û£)	24	500	42	Red Hwarang Shirt (¬õÀsªA)
Zombie Mushroom (íL«ÍÛ£Û£)	24	500	42	Green Hwarang Shirt (ºñÀsªA)
Zombie Mushroom (íL«ÍÛ£Û£)	24	500	42	Black Pao (¶Â­ð­m)
Zombie Mushroom (íL«ÍÛ£Û£)	24	500	42	Brown Sneak (½Å±Ó±¶¤§ªA)
Zombie Mushroom (íL«ÍÛ£Û£)	24	500	42	Blue Chaos Robe (ÂÅÅ]¤Oªø³T)
Zombie Mushroom (íL«ÍÛ£Û£)	24	500	42	White Chaos Robe (¥ÕÅ]¤Oªø³T)
Zombie Mushroom (íL«ÍÛ£Û£)	24	500	42	Red Martial Arts Pants (¬õªZ¿Ç)
Zombie Mushroom (íL«ÍÛ£Û£)	24	500	42	Brown Sneak Pants (½Å±Ó±¶¤§¿Ç)
Zombie Mushroom (íL«ÍÛ£Û£)	24	500	42	Red Arten (¬õºëÆF¤â®M)
Zombie Mushroom (íL«ÍÛ£Û£)	24	500	42	Brown Leather Armor Glove (½Å¦â¥Ö­²¤âµÃ)
Zombie Mushroom (íL«ÍÛ£Û£)	24	500	42	Blue Counter («C¥ú©ò)
Zombie Mushroom (íL«ÍÛ£Û£)	24	500	42	Mithril Wand (¾YÄqµu§ú)
Zombie Mushroom (íL«ÍÛ£Û£)	24	500	42	Iron Axe (ÅK»s©òÀY)
Zombie Mushroom (íL«ÍÛ£Û£)	24	500	42	Iron Axe (¿ûÅK©ò)
Zombie Mushroom (íL«ÍÛ£Û£)	24	500	42	Nakamaki (¨ëºj)
Zombie Mushroom (íL«ÍÛ£Û£)	24	500	42	Hunter's Bow (¥´Ây¤})
Zombie Mushroom (íL«ÍÛ£Û£)	24	500	42	Golden Hook (¶Àª÷¤õºj)
Zombie Mushroom (íL«ÍÛ£Û£)	24	500	42	Orange Potion (¾ï¦âÃÄ¤ô)
Zombie Mushroom (íL«ÍÛ£Û£)	24	500	42	White Potion (¥Õ¦âÃÄ¤ô)
Zombie Mushroom (íL«ÍÛ£Û£)	24	500	42	Blue Potion (ÂÅ¦âÃÄ¤ô)
Zombie Mushroom (íL«ÍÛ£Û£)	24	500	42	Dexterity Potion (±Ó±¶ÃÄ¤ô)
Zombie Mushroom (íL«ÍÛ£Û£)	24	500	42	Chocolate (¥©§J¤O)
Zombie Mushroom (íL«ÍÛ£Û£)	24	500	42	Scroll for One-Handed Sword for ATT 60% (³æ¤â¼C§ðÀ»¨÷¶b60%)
Zombie Mushroom (íL«ÍÛ£Û£)	24	500	42	Scroll for Spear for ATT 10% (ºj§ðÀ»¨÷¶b10%)
Zombie Mushroom (íL«ÍÛ£Û£)	24	500	42	Charm of the Undead (¹D²Å)
Zombie Mushroom (íL«ÍÛ£Û£)	24	500	42	Mithril Ore (¾YÄq¥Û¥ÀÄq)
Zombie Mushroom (íL«ÍÛ£Û£)	24	500	42	Adamantium Ore (¦¶Äq¥Û¥ÀÄq)
Zombie Mushroom (íL«ÍÛ£Û£)	24	500	42	Emerald Ore (¯ª¥Àºñ¥ÀÄq)
Rocky Mask (©¥­±©Ç¤H)	24	600	45	Blue Pao (ÂÅ­ð¸Ë)
Rocky Mask (©¥­±©Ç¤H)	24	600	45	Sky Shark (¤ÑÂÅÃM¤h¥Ò)
Rocky Mask (©¥­±©Ç¤H)	24	600	45	Blue Pao Bottom (ÂÅ­ð­m¿Ç)
Rocky Mask (©¥­±©Ç¤H)	24	600	45	Sky Shark Skirt (¤ÑÂÅÃM¤h¸È)
Rocky Mask (©¥­±©Ç¤H)	24	600	45	Orihalcon Missel (µµÄq¾÷¾¹¤â®M)
Rocky Mask (©¥­±©Ç¤H)	24	600	45	Green Marker (ºñÀ»¤¤¤â®M)
Rocky Mask (©¥­±©Ç¤H)	24	600	45	Red Lutia (¬õ¦uÅ@¤â®M)
Rocky Mask (©¥­±©Ç¤H)	24	600	45	Viking Sword (®üµs¼C)
Rocky Mask (©¥­±©Ç¤H)	24	600	45	Ice Wand (¦Bºëµu§ú)
Rocky Mask (©¥­±©Ç¤H)	24	600	45	Ryden (¹p¹q)
Rocky Mask (©¥­±©Ç¤H)	24	600	45	Double Tail Knuckler (Âù´Æ«üªê)
Rocky Mask (©¥­±©Ç¤H)	24	600	45	Orange Potion (¾ï¦âÃÄ¤ô)
Rocky Mask (©¥­±©Ç¤H)	24	600	45	Blue Potion (ÂÅ¦âÃÄ¤ô)
Rocky Mask (©¥­±©Ç¤H)	24	600	45	Dexterity Potion (±Ó±¶ÃÄ¤ô)
Rocky Mask (©¥­±©Ç¤H)	24	600	45	Scroll for Earring for INT 60% (¦ÕÀô´¼¤O¨÷¶b60%)
Rocky Mask (©¥­±©Ç¤H)	24	600	45	Scroll for Staff for Magic ATT 60% (ªø§úÅ]¤O¨÷¶b60%)
Rocky Mask (©¥­±©Ç¤H)	24	600	45	Scroll for Spear for ATT 60% (ºj§ðÀ»¨÷¶b60%)
Rocky Mask (©¥­±©Ç¤H)	24	600	45	Slate (¥ÛªO)
Rocky Mask (©¥­±©Ç¤H)	24	600	45	Steel Ore (¿ûÅK¥ÀÄq)
Rocky Mask (©¥­±©Ç¤H)	24	600	45	Orihalcon Ore (µµÄq¥Û¥ÀÄq)
Rocky Mask (©¥­±©Ç¤H)	24	600	45	Emerald Ore (¯ª¥Àºñ¥ÀÄq)
Wild Boar (¶ÂªÎªÎ)	25	550	42	Bronze Pride (®]®©ªÅ«C»ÉÀYãT)
Wild Boar (¶ÂªÎªÎ)	25	550	42	Brown Guiltian (½ÅÅ]¹D¤§´U)
Wild Boar (¶ÂªÎªÎ)	25	550	42	Red Distinction (¬õ¦Ðµ·µ³´U)
Wild Boar (¶ÂªÎªÎ)	25	550	42	Weighted Earrings (Áè¯]¦ÕÀô)
Wild Boar (¶ÂªÎªÎ)	25	550	42	Sapphire Earrings (ÂÅÄ_¥Û¦ÕÀô)
Wild Boar (¶ÂªÎªÎ)	25	550	42	Brown Piette (½Å¶Q±Ú¤§ªA)
Wild Boar (¶ÂªÎªÎ)	25	550	42	Green Shivermail (ºñµw¥Ö¸Ë)
Wild Boar (¶ÂªÎªÎ)	25	550	42	Purple Shivermail (µµµw¥Ö¸Ë)
Wild Boar (¶ÂªÎªÎ)	25	550	42	Purple Doroness Robe (µµÅ]ªÌ¤§³T)
Wild Boar (¶ÂªÎªÎ)	25	550	42	Red Doroness Robe (¬õÅ]ªÌ¤§³T)
Wild Boar (¶ÂªÎªÎ)	25	550	42	Blue Knucklevest Pants (ÂÅ·t¼v¤§¿Ç)
Wild Boar (¶ÂªÎªÎ)	25	550	42	Brown Piette Pants (½Å¶Q±Ú¿Ç)
Wild Boar (¶ÂªÎªÎ)	25	550	42	Green Able Armor Skirt (ºñ®È¦æ¥Ö¸È)
Wild Boar (¶ÂªÎªÎ)	25	550	42	Green Shivermail Skirt (ºñµw¥Ö¸È)
Wild Boar (¶ÂªÎªÎ)	25	550	42	Iron Chain Boots (¿ûÅKÃì¾c)
Wild Boar (¶ÂªÎªÎ)	25	550	42	Mithril Battle Grieves (ÂÅ°«¤h¾c)
Wild Boar (¶ÂªÎªÎ)	25	550	42	Blood Battle Grieves (¬õ°«¤h¾c)
Wild Boar (¶ÂªÎªÎ)	25	550	42	Red Lappy Boots (¬õ°lÀ»¾c)
Wild Boar (¶ÂªÎªÎ)	25	550	42	Hard Leather Glove (½Å¦â°í©T¥Ö¤âµÃ)
Wild Boar (¶ÂªÎªÎ)	25	550	42	Split Bullet (¤l¼u)
Wild Boar (¶ÂªÎªÎ)	25	550	42	Circle-Winded Staff (­·½üªø§ú)
Wild Boar (¶ÂªÎªÎ)	25	550	42	Lionheart (°ª­ì¤§¼C)
Wild Boar (¶ÂªÎªÎ)	25	550	42	Sabretooth (®æ°«©ò)
Wild Boar (¶ÂªÎªÎ)	25	550	42	Nakamaki (¨ëºj)
Wild Boar (¶ÂªÎªÎ)	25	550	42	Ryden (¹p¹q)
Wild Boar (¶ÂªÎªÎ)	25	550	42	Eagle Crow (ÆN©¸)
Wild Boar (¶ÂªÎªÎ)	25	550	42	Mithril Guards (¾YÄq°«®±)
